subject,label,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
subjects,rh_parsopercularis,1835,1243,3542,2.317,0.76,0.12,0.031,16,2.4
subjects,rh_parsorbitalis,1229,860,2919,2.65,0.862,0.141,0.037,17,1.8
subjects,rh_parstriangularis,2186,1558,4253,2.23,0.77,0.149,0.049,29,4.1
subjects,rh_pericalcarine,2123,1489,2198,1.693,0.462,0.137,0.044,26,4
subjects,rh_postcentral,6413,4285,8979,1.847,0.728,0.116,0.027,48,6.9
subjects,rh_posteriorcingulate,1574,1103,2924,2.513,0.854,0.155,0.049,27,2.7
subjects,rh_precentral,8192,5427,12343,2.078,0.632,0.116,0.028,63,9.2
subjects,rh_precuneus,5195,3646,8838,2.253,0.743,0.131,0.034,56,7.1
subjects,rh_rostralanteriorcingulate,827,603,1699,2.41,0.719,0.147,0.044,13,1.5
subjects,rh_rostralmiddlefrontal,8080,5738,15377,2.234,0.776,0.157,0.054,129,16.3
subjects,rh_superiorfrontal,10301,7282,21052,2.435,0.744,0.133,0.039,112,15.3
subjects,rh_superiorparietal,8429,5911,13448,2.065,0.556,0.13,0.032,78,10.8
subjects,rh_superiortemporal,5167,3542,10952,2.632,0.859,0.119,0.029,49,5.8
subjects,rh_supramarginal,4893,3484,10200,2.463,0.824,0.124,0.032,43,6.1
subjects,rh_frontalpole,346,282,1168,3.051,0.556,0.246,0.11,10,1.6
subjects,rh_temporalpole,564,390,2386,4.043,0.758,0.133,0.044,6,1
subjects,rh_transversetemporal,549,347,952,2.522,0.51,0.133,0.036,5,0.7
subjects,rh_insula,3029,2146,6775,3.097,1.197,0.11,0.036,27,3.7
